Feature,MI_Score,Logistic_Selected,RFE_Selected,RFE_Ranking
feature_65,0.024818135289377707,True,False,7
feature_100,0.024701328009652634,True,False,6
feature_70,0.023155920413270525,True,False,7
feature_29,0.022744191896515886,True,False,4
feature_74,0.02198103033987353,True,False,7
feature_4,0.021364020595312283,True,True,1
feature_66,0.018638386807727336,True,True,1
feature_87,0.017704010646420798,True,False,7
feature_71,0.01653306665921095,True,False,5
feature_6,0.016292071216205795,True,True,1
feature_21,0.016120193953931494,True,True,1
feature_58,0.016056271129489375,True,True,1
feature_76,0.01590041234810835,True,True,1
feature_55,0.015522853678770598,True,True,1
feature_19,0.015451292013694662,True,True,1
feature_93,0.014835122108641574,True,True,1
feature_20,0.013911316841217047,True,False,4
feature_43,0.01386576870320022,True,True,1
feature_11,0.013641672330480414,True,False,6
feature_73,0.013403662096373115,True,False,3
feature_79,0.01332200194416533,True,False,6
feature_82,0.013131358131464932,True,False,4
feature_28,0.012938285818250517,True,True,1
feature_17,0.012687582666727426,True,False,4
feature_30,0.01226154833061699,True,False,3
feature_97,0.012223658795927683,True,True,1
feature_3,0.012032651009890039,True,True,1
feature_68,0.010813799813934377,True,False,2
feature_51,0.010669371716728104,True,False,3
feature_52,0.010439309706165023,True,False,5
feature_49,0.009652865373937836,True,True,1
feature_31,0.009636120219198574,True,True,1
feature_25,0.009265767064757124,True,True,1
feature_1,0.008697250120252686,True,False,6
feature_61,0.008278913229019746,True,True,1
feature_83,0.008211302558496225,True,True,1
feature_8,0.008077417390921049,True,True,1
feature_26,0.00800015333193782,True,False,5
feature_47,0.007641028530190663,True,True,1
feature_98,0.006964267720332984,True,False,3
feature_63,0.006683865571408987,True,True,1
feature_32,0.006333366996555512,True,False,5
feature_10,0.006124350138138723,True,False,-1
feature_94,0.006022333823541448,True,False,-1
feature_92,0.006005058285833975,True,False,-1
feature_54,0.005129738652490445,True,False,-1
feature_90,0.0051279134404063065,True,False,-1
feature_88,0.004857065475529776,True,False,-1
feature_34,0.004433733826466835,True,False,-1
feature_53,0.004422361987603818,True,False,-1
feature_18,0.004197312396529096,True,False,-1
feature_16,0.0041453136051274875,True,False,-1
feature_37,0.004040392946572435,True,False,-1
feature_2,0.003961555481914569,True,False,-1
feature_9,0.003876126551343617,True,False,-1
feature_36,0.003843759792082402,True,False,-1
feature_46,0.0037404360398154424,True,False,-1
feature_45,0.0036722675823286366,True,False,-1
feature_96,0.0036005018668103794,True,False,-1
feature_24,0.0029458836592861637,True,False,-1
feature_13,0.0024555975902122995,True,False,-1
feature_56,0.0022442221373930593,True,False,-1
feature_23,0.0013268912100796726,True,False,-1
feature_89,0.0010809055769427367,True,False,-1
feature_67,0.0007846466874852354,True,False,-1
feature_80,0.0004953962049318861,True,False,-1
feature_41,0.00034638530289043956,True,False,-1
feature_75,0.0002402863281005807,True,False,-1
feature_86,0.0,True,False,-1
feature_77,0.0,True,False,-1
feature_91,0.0,True,False,-1
feature_99,0.0,True,False,-1
feature_81,0.0,True,False,-1
feature_78,0.0,True,False,-1
feature_85,0.0,True,False,-1
feature_95,0.0,True,False,-1
feature_84,0.0,True,False,-1
id,0.0,True,False,-1
feature_72,0.0,True,False,-1
feature_38,0.0,True,False,-1
feature_5,0.0,True,False,-1
feature_7,0.0,True,False,-1
feature_12,0.0,True,False,-1
feature_14,0.0,True,False,-1
feature_15,0.0,True,False,-1
feature_22,0.0,True,False,-1
feature_27,0.0,True,False,-1
feature_33,0.0,True,False,-1
feature_35,0.0,True,False,-1
feature_39,0.0,True,False,-1
feature_69,0.0,True,False,-1
feature_40,0.0,True,False,-1
feature_42,0.0,True,False,-1
feature_44,0.0,True,False,-1
feature_48,0.0,True,False,-1
feature_57,0.0,True,False,-1
feature_59,0.0,True,False,-1
feature_60,0.0,True,False,-1
feature_62,0.0,True,False,-1
feature_64,0.0,True,False,-1
feature_50,0.0,True,False,-1
